GEOID10,TRACTID,GISJN_TCT,cty_fips,class_mm,class_mm_char,elev_m,develop_pct,prcp,tmax,tmin,totpop,white_nh,afam_nh,natam_nh,asian_nh,hisp,fb_pop,nonga_pop,ga_pop,cmute_car,cmute_carp,cmute_public,cmute_bike,cmute_walk,cmute_home,medinc,povpop_50pct,popop_99pct,inc_10K,inc_150K,inc_200K,tenure_own,tenure_rent,ind_ag,ind_const,ind_manuf,ind_wholetrd,ind_retltrd,ind_transp,ind_info,ind_finance,ind_prof,ind_ed,ind_arts,ind_public
13013180103,13013180103,G13013180103,13013,2,"White, low diversity",264.0260430429549,15.91,1506.3333333333333,22.200913242009133,10.406392694063927,4697,85.3,2.1,0,6,6.1,6,38.6,53.4,80.6,6.8,0,0,0,12.6,78545,2.6,2.6,0.9,9.5,7.8,84.5,15.5,0,10.4,13.1,2.8,16.3,2.9,2.4,5.8,10.5,18.7,10.4,2.9
13013180401,13013180401,G13013180401,13013,2,"White, low diversity",242.2553347932418,7.76,1584,22.343835616438355,10.426027397260274,5724,84.4,7.3,0,3.8,3.9,3.6,30.1,65.7,88.1,9,0.3,0,0,2.5,59080,1.5,1.5,0.8,5.4,2.2,81.1,18.9,2.5,9.7,7.7,4.6,14.7,5.4,2.2,8.7,7.9,25.5,4,2.5
13013180303,13013180303,G13013180303,13013,8,"White, moderate diversity",265.55255405828893,8.75,1559,22.263013698630136,10.389041095890411,4871,75.8,6.8,0,5,10.7,6.1,22.5,70.6,87.5,10.1,0,0,0,2.4,54956,4.4,4.4,3.5,1.6,1.4,76,24,0.8,9,8.2,3.8,22.7,5.1,1.8,5.7,9.4,23.9,3.7,2.2
13013180106,13013180106,G13013180106,13013,8,"White, moderate diversity",297.7957603819997,16.08,1515.3333333333333,22.15433789954338,10.411415525114155,2773,77.3,11.4,0,0.6,9.5,11,27.1,60.9,84.8,9.8,0.2,0,0.8,2.5,51393,4.5,4.5,2.6,1.4,1.6,65.1,34.9,1.9,8.2,7.1,3.4,29.9,4.2,2.1,3.6,9.3,15.9,1.4,3.4
13013180205,13013180205,G13013180205,13013,8,"White, moderate diversity",285.33169934640523,44.15,1578,22.213698630136985,10.360730593607306,4397,62.5,20,0.2,2.9,10.9,7.3,22.7,68.5,81,15.3,0.4,1,1.2,0.4,40139,10.5,10.5,1.3,1.2,1,42.1,57.9,1.1,10.6,11.4,3.8,14.8,3.3,1.1,3.8,11.6,19.1,10.4,2.1
13013180402,13013180402,G13013180402,13013,8,"White, moderate diversity",254.59646218194493,9.76,1685.3333333333333,22.4027397260274,10.452511415525114,6546,63.9,25.6,0,1.3,7.7,2.8,26.5,69.6,91,4.8,0,0,0.1,3.7,50900,4.1,4.1,2.6,2.7,0.5,71,29,0,10.3,16.9,3.3,16.4,2.7,0.3,5.7,7,24.6,3.5,3.7
13013180206,13013180206,G13013180206,13013,2,"White, low diversity",277.00588235294117,27.55,1527.6666666666667,22.34931506849315,10.401369863013699,2864,89.8,1.4,0,0,6.5,1.8,33.3,64.8,87.1,9.9,0,0.7,0,2.2,59028,8,8,4.2,3.7,6.6,54.4,45.6,0.6,7.9,25,8,10.7,4,0.7,8.4,5.1,19.1,7.9,0.5
13013180302,13013180302,G13013180302,13013,2,"White, low diversity",248.68571513388352,12.06,1502.3333333333333,22.374429223744293,10.407762557077625,5434,89.7,0.5,0,0.6,6.9,5.9,27.2,65.9,83.9,14.5,0,0,0,1.1,53486,6.3,6.3,2.6,1.1,2.1,67.4,32.6,0,13,8.4,2.3,18,6.9,1.5,5.9,5.3,24.4,6.5,4.2
13013180105,13013180105,G13013180105,13013,8,"White, moderate diversity",282.2895733816505,8.87,1521.6666666666667,22.204109589041096,10.40228310502283,2907,68.2,8.4,0,11.5,10.5,12.3,34.9,52.6,91.2,5.8,0.5,0,0.4,1.6,69338,9.6,9.6,9.5,4.1,2,85,15,1.1,6.9,9.1,5,16.3,5.2,2.6,6.2,12.8,16.2,10.8,3.5
13013180501,13013180501,G13013180501,13013,8,"White, moderate diversity",277.1435123192287,18.38,1550.3333333333333,22.354337899543378,10.378082191780821,5548,68.9,15.8,0,2.2,10.7,6,43.7,49.1,83.7,6.1,0,0,0.4,9.8,54963,3.9,3.9,2,4.6,1.7,80.4,19.6,1.3,6.4,9,4.1,13.3,8.7,1.6,13.3,9.4,18.8,5.8,4.6
13013180301,13013180301,G13013180301,13013,2,"White, low diversity",262.29329783250824,15.97,1530.3333333333333,22.328310502283106,10.384018264840183,2268,86.4,3.3,0,1.9,7.7,9.2,31.5,59.2,89.6,7.1,0.7,0,0.6,0,65119,1.4,1.4,0,5.7,1,77.3,22.7,1.1,8.2,11.6,4.7,15.3,2.7,2.5,5.7,10.4,19.9,10,4.9
13013180502,13013180502,G13013180502,13013,8,"White, moderate diversity",250.45394130677698,7.5,1492,22.54794520547945,10.414155251141553,4827,76.9,6.1,0,3,10.4,6.5,30,63.1,80.9,14.5,1.2,0,0,2.8,47213,8.7,8.7,6.6,1.8,0.9,74.2,25.8,0.9,10,11.4,1.4,13.1,5.4,0.3,3.6,8.8,18.3,7.8,8.5
13013180204,13013180204,G13013180204,13013,14,High diversity,271.48365099770837,16.97,1527,22.359817351598174,10.373972602739727,3020,42.9,32.5,1.9,3.5,16.4,14.1,27.9,56,74.5,14.4,0.5,0.7,5.6,3,37614,8.5,8.5,7.5,4.7,0,34.3,65.7,0.2,11.2,16.5,0.8,11.6,4.5,0.8,2.2,10.1,17.3,15.6,4.2
13013180203,13013180203,G13013180203,13013,8,"White, moderate diversity",284.0355386323973,40.79,1549.3333333333333,22.284474885844748,10.366666666666667,3743,44.7,21.7,0,4.2,28.2,16.4,23.4,58.2,81.5,17.9,0,0,0.5,0,36400,6.5,6.5,7.5,0,0,47.3,52.7,0,15.3,21.2,7.1,17.1,5.1,1.8,1.8,2,9.2,8.4,0.5
13013180503,13013180503,G13013180503,13013,8,"White, moderate diversity",262.8839476443857,14.24,1531.3333333333333,22.41187214611872,10.365296803652969,4960,71.9,12.9,0,5.8,8,7.7,33,56.8,88.2,7.1,0,0,1,2.5,63889,2.3,2.3,1.9,3.3,1.7,91.8,8.2,1.8,6.6,7.9,5.3,19.7,11.1,1.2,4.6,8.9,15.6,6,6.9
13013180108,13013180108,G13013180108,13013,2,"White, low diversity",296.4916149882086,15.32,1564.3333333333333,22.151141552511415,10.372602739726027,2825,85.3,5.6,0.5,1.9,4.6,5.2,33.7,60.3,86.7,9.4,0,0,0,0.6,51250,4.6,4.6,0,4,0,68.5,31.5,0.1,8.5,7.9,6.2,19,8.1,1.8,5.1,11.1,14.3,8.6,6
13013180104,13013180104,G13013180104,13013,8,"White, moderate diversity",303.5256594194901,18.53,1551.6666666666667,22.08949771689498,10.401369863013699,2032,73,12.3,0,0,7.7,3.2,28.3,68.1,84.7,10.4,0,0,0,3.6,40385,16.8,16.8,16,0.4,1.8,72.1,27.9,0,10.8,9.8,4.4,18.5,8.7,4.3,4.6,15,14,4.2,1.2
13013180107,13013180107,G13013180107,13013,8,"White, moderate diversity",300.5822578390719,22.94,1597,22.17579908675799,10.37351598173516,3904,78.7,2.2,0,7.5,10,6.8,32.7,60.1,89.2,8.2,0,0,0,1.4,50351,9.6,9.6,9.3,0,0.9,62.3,37.7,0,10.6,15.4,2.1,21.4,7.2,0.4,3.3,8.8,15.8,5,2.2
13015960802,13015960802,G13015960802,13015,2,"White, low diversity",270.7421371167775,9.99,1362,22.442465753424656,9.811872146118722,2998,83.8,0.7,1.4,0,14.1,5.1,36.7,57.3,79.9,9.2,0.1,0,2.7,4.9,33393,14.6,14.6,13.2,2.7,0,63.6,36.4,4.4,16.3,11.6,0.5,10.7,6.2,0,0.5,14.7,13.8,7.6,4.7
