X,Y,GEOID10,TRACTID,GISJN_TCT,coord_query
-84.46547261544747,33.701061570464596,13121007604,13121007604,G13121007604,"G13121007604.csv, 33.7010615704646, -84.4654726154475"
-84.27229372700896,34.03076050621238,13121011427,13121011427,G13121011427,"G13121011427.csv, 34.0307605062124, -84.272293727009"
-84.28047634637781,34.07217945367375,13121011616,13121011616,G13121011616,"G13121011616.csv, 34.0721794536737, -84.2804763463778"
-84.48812424249775,33.707786641555764,13121007704,13121007704,G13121007704,"G13121007704.csv, 33.7077866415558, -84.4881242424977"
-84.4403826861129,33.70650934693353,13121007603,13121007603,G13121007603,"G13121007603.csv, 33.7065093469335, -84.4403826861129"
-84.24397799574854,33.946646365771336,13135050317,13135050317,G13135050317,"G13135050317.csv, 33.9466463657713, -84.2439779957485"
-84.1730523985606,33.99208764053896,13135050220,13135050220,G13135050220,"G13135050220.csv, 33.992087640539, -84.1730523985606"
-84.24737441100797,33.95454453694784,13135050318,13135050318,G13135050318,"G13135050318.csv, 33.9545445369478, -84.247374411008"
-84.20490957842996,33.9263529153283,13135050320,13135050320,G13135050320,"G13135050320.csv, 33.9263529153283, -84.20490957843"
-83.86828443381404,33.66459711814783,13217100100,13217100100,G13217100100,"G13217100100.csv, 33.6645971181478, -83.868284433814"
-84.236819612708,33.989926447090255,13135050322,13135050322,G13135050322,"G13135050322.csv, 33.9899264470903, -84.236819612708"
-83.86945226564326,33.613671912681085,13217100400,13217100400,G13217100400,"G13217100400.csv, 33.6136719126811, -83.8694522656433"
-83.83328377704693,33.58144012314071,13217100300,13217100300,G13217100300,"G13217100300.csv, 33.5814401231407, -83.8332837770469"
-84.04381106111819,33.983198486732086,13135050538,13135050538,G13135050538,"G13135050538.csv, 33.9831984867321, -84.0438110611182"
-84.02620655816494,34.01520133063737,13135050525,13135050525,G13135050525,"G13135050525.csv, 34.0152013306374, -84.0262065581649"
-84.0539344048065,34.01314339024315,13135050529,13135050529,G13135050529,"G13135050529.csv, 34.0131433902432, -84.0539344048065"
-84.05729044394964,33.99770462300377,13135050530,13135050530,G13135050530,"G13135050530.csv, 33.9977046230038, -84.0572904439496"
-84.14291918228471,33.97364368102687,13135050209,13135050209,G13135050209,"G13135050209.csv, 33.9736436810269, -84.1429191822847"
-84.11193602898649,33.99435240358436,13135050217,13135050217,G13135050217,"G13135050217.csv, 33.9943524035844, -84.1119360289865"
-84.13410892756055,34.0222153602049,13135050214,13135050214,G13135050214,"G13135050214.csv, 34.0222153602049, -84.1341089275605"
-84.1421525384467,33.98921225452799,13135050218,13135050218,G13135050218,"G13135050218.csv, 33.989212254528, -84.1421525384467"
-84.09170098716352,34.066429243474005,13135050212,13135050212,G13135050212,"G13135050212.csv, 34.066429243474, -84.0917009871635"
-84.0530521608037,34.09497437634526,13135050109,13135050109,G13135050109,"G13135050109.csv, 34.0949743763453, -84.0530521608037"
-84.04373907005231,34.06056185968345,13135050213,13135050213,G13135050213,"G13135050213.csv, 34.0605618596835, -84.0437390700523"
-84.01069347412952,34.043427107150684,13135050208,13135050208,G13135050208,"G13135050208.csv, 34.0434271071507, -84.0106934741295"
-83.9489263054617,34.09066200497869,13135050606,13135050606,G13135050606,"G13135050606.csv, 34.0906620049787, -83.9489263054617"
-84.07345934437829,34.040422040452555,13135050210,13135050210,G13135050210,"G13135050210.csv, 34.0404220404526, -84.0734593443783"
-84.0079605881128,34.02684459163625,13135050528,13135050528,G13135050528,"G13135050528.csv, 34.0268445916362, -84.0079605881128"
-83.95051657566292,34.04722255634645,13135050605,13135050605,G13135050605,"G13135050605.csv, 34.0472225563464, -83.9505165756629"
-84.16762047467006,33.90591358335952,13135050422,13135050422,G13135050422,"G13135050422.csv, 33.9059135833595, -84.1676204746701"
-84.25319728330201,33.92802121431668,13135050304,13135050304,G13135050304,"G13135050304.csv, 33.9280212143167, -84.253197283302"
-83.98874674798475,34.11982617539986,13135050105,13135050105,G13135050105,"G13135050105.csv, 34.1198261753999, -83.9887467479847"
-84.02697639666204,34.13281843268234,13135050103,13135050103,G13135050103,"G13135050103.csv, 34.1328184326823, -84.026976396662"
-84.08594618703684,34.10286317233388,13135050108,13135050108,G13135050108,"G13135050108.csv, 34.1028631723339, -84.0859461870368"
-84.06690293385275,34.139484756976955,13135050107,13135050107,G13135050107,"G13135050107.csv, 34.139484756977, -84.0669029338527"
-84.21681768316782,33.98807675495972,13135050308,13135050308,G13135050308,"G13135050308.csv, 33.9880767549597, -84.2168176831678"
-84.19183974010502,33.97478472987235,13135050309,13135050309,G13135050309,"G13135050309.csv, 33.9747847298723, -84.191839740105"
-84.2150789878791,33.90394466420435,13135050417,13135050417,G13135050417,"G13135050417.csv, 33.9039446642044, -84.2150789878791"
-84.16390293519405,33.95556697853639,13135050314,13135050314,G13135050314,"G13135050314.csv, 33.9555669785364, -84.163902935194"
-84.00592530879656,34.08312150404005,13135050106,13135050106,G13135050106,"G13135050106.csv, 34.0831215040401, -84.0059253087966"
-84.16457757190321,34.01268512110929,13135050205,13135050205,G13135050205,"G13135050205.csv, 34.0126851211093, -84.1645775719032"
-84.18873659370107,33.89868234620926,13135050419,13135050419,G13135050419,"G13135050419.csv, 33.8986823462093, -84.1887365937011"
-84.22868324484126,33.92659488494532,13135050306,13135050306,G13135050306,"G13135050306.csv, 33.9265948849453, -84.2286832448413"
-84.22332888436485,33.8979789243085,13135050418,13135050418,G13135050418,"G13135050418.csv, 33.8979789243085, -84.2233288843648"
-84.00079576415605,33.94094181635476,13135050521,13135050521,G13135050521,"G13135050521.csv, 33.9409418163548, -84.0007957641561"
-84.18509591641008,33.91517439667214,13135050421,13135050421,G13135050421,"G13135050421.csv, 33.9151743966721, -84.1850959164101"
-84.2622629209434,33.95426308468668,13135050315,13135050315,G13135050315,"G13135050315.csv, 33.9542630846867, -84.2622629209434"
